id,book,level,question_text,source_quote_current,book_page_NEW,source_quote_NEW,notes
04581ee2-bdfe-4f12-bfd3-239453ede335,nawawi,easy,"""رُفع عن أمتي الخطأ والنسيان وما استُكرهوا عليه"" يدل على:",الإجابة الصحيحة: رفع الحرج,,,
135d0bb6-d43e-4f1a-a566-2efe89c1e26d,nawawi,easy,ازهد في الدنيا يحبك الله، وازهد فيما عند الناس...,يحبك الله، ويحبك الناس.,,,
1db7086a-ddff-4b54-a188-3ab280f420cb,nawawi,easy,المسلم أخو المسلم، لا يظلمه ولا يخذله ولا يحقره.,كل المسلم على المسلم حرام.,,,
24a892d5-3cd5-484a-85db-63ba1cea2f82,nawawi,easy,"معنى ""آذنته بالحرب"" في حديث الولاية:",«أعلنت عليه الحرب» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.,,,
2dc97fc9-c142-4777-bb27-026eeee3da9f,nawawi,easy,"""كن في الدنيا كأنك غريب"" يحثّ على:",«قصر الأمل والاستعداد للآخرة» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.,,,
31d613b7-3a50-4285-9f06-5fec89170b83,nawawi,easy,استُشهد عمر بن الخطاب رضي الله عنه في السنة:,الإجابة الصحيحة: الثالثة والعشرين من الهجرة,,,
371c3a70-cb31-4f62-a927-3576432f673e,nawawi,easy,حب الخير للمسلمين من علامات الإيمان.,,,,
444a1228-2f73-44f1-99ba-720d9c572f4a,nawawi,easy,"حديث ""إنما الأعمال بالنيات"" يدل على أهمية:",الإجابة الصحيحة: النية والإخلاص,,,
45777616-94a2-45a0-81c4-1dbcc82a606b,nawawi,easy,الإحسان هو أن تعبد الله كأنك تراه.,فإن لم تكن تراه فإنه يراك.,,,
48c3d4db-63af-45a8-ad88-362fe1930464,nawawi,easy,"راوي حديث ""إن أحدكم يُجمع خلقه في بطن أمه"" هو:",الإجابة الصحيحة: عبد الله بن مسعود رضي الله عنه,,,
4f445a90-4d61-4e95-a6b7-9dcaf7acb6d6,nawawi,easy,"""البر حسن الخلق والإثم ما حاك في صدرك"" راويه:",الإجابة الصحيحة: النواس بن سمعان,,,
59571e92-ff34-4008-aa2e-a6a0bc4545b4,nawawi,easy,إكرام الجار من الإيمان.,ومن كان يؤمن بالله واليوم الآخر فليكرم جاره.,,,
64108c2e-be22-4a6e-832c-73a5ccb6527d,nawawi,easy,"""لا ضرر ولا ضرار"" يدل على:",الإجابة الصحيحة: منع إلحاق الضرر بالنفس والغير,,,
6ed4bd4d-321c-48b4-b26f-0d6426edfc6d,nawawi,easy,من كان يؤمن بالله واليوم الآخر فليقل...,فليقل خيراً أو ليصمت.,,,
7ca5574a-1866-4575-91d2-abec2ef3166e,nawawi,easy,اتق الله حيثما كنت، وأتبع السيئة...,وأتبع السيئة الحسنة تمحها.,,,
85144bc0-eed2-4866-bbf6-53aaf7d73d38,nawawi,easy,"""الزكاة"" شرعاً:",الإجابة الصحيحة: عبادة مالية مقدرة شرعاً تُصرف لطائفة مخصوصة,,,
8a54e7c1-8768-415c-866b-5605122aea44,nawawi,easy,في حديث ابن مسعود يُجمع خلق الإنسان في بطن أمه:,الإجابة الصحيحة: أربعين يوماً نطفة,,,
9218b66d-d695-4c63-bc4d-2cf6ea1419ee,nawawi,easy,"""الحلال بيّن والحرام بيّن وبينهما أمور مشتبهات"" يحثّ على:",الإجابة الصحيحة: اتقاء الشبهات,,,
9a483832-b4ef-4e89-a30b-b93486aa91b0,nawawi,easy,كل سلامى من الناس عليه صدقة، منها:,الكلمة الطيبة صدقة.,,,
ac4a2acc-6628-446c-a313-81e5405d9f0b,nawawi,easy,الحياء من الإيمان.,الحياء شعبة من الإيمان.,,,
b3ed2d52-6441-4845-ad3d-cc8cfc2a0f9b,nawawi,easy,"""البر حسن الخلق، والإثم ما حاك في"":",الإجابة الصحيحة: نفسك,,,
ba832db3-dd15-4230-976e-0b8522a3d3eb,nawawi,easy,"معنى ""النسيان"" في حديث رفع الحرج:",النسيان في الحديث: ما فعل العبد من عمل ثم نسيه بعد ذلك، فُرِّغ عنه.,,,
bd0f2004-eda9-4993-975c-25d4786e349a,nawawi,easy,لماذا جمع الإمام النووي هذه الأربعين حديثاً؟,كل حديث منها قاعدة عظيمة من قواعد الدين.,,,
c0235d41-f3d5-473d-9afa-8c3718610b4c,nawawi,easy,"""الطهور شطر الإيمان"" يدل على فضل:",الإجابة الصحيحة: الطهارة,,,
c222d45d-12aa-489b-b6d5-8c71d179b249,nawawi,easy,الأعمال لا تقبل إلا بالنية الصالحة.,وإنما لكل امرئ ما نوى.,,,
c657e959-434b-4c9c-b1c7-60206d85138d,nawawi,easy,علاج الغضب أن يقول: أعوذ بالله من الشيطان الرجيم.,إني لأعلم كلمة لو قالها لذهب عنه ما يجد.,,,
ce7a77d3-5b18-4834-9919-5b2e3cbae0b9,nawawi,easy,"""النية"" في حديث الأعمال هي:",الإجابة الصحيحة: العزم على فعل العبادة تقرباً إلى الله وحمله البلق,,,
d559ce7e-cc4a-4c61-88a9-e2331e38c85d,nawawi,easy,"معنى ""الأمَة"" في علامات الساعة ""أن تلد الأمة ربتها"":",«المملوكة» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.,,,
da89ed81-0fb5-4f49-a689-880a89271aed,nawawi,easy,ما أول حديث في الأربعين النووية؟,حديث عمر بن الخطاب: إنما الأعمال بالنيات.,,,
e3b8d209-b4b7-45cc-bfb0-78ac6d7ed91b,nawawi,easy,النية محلّها:,الإجابة الصحيحة: القلب,,,
e5367815-958c-4ec4-9138-ed6455725381,nawawi,easy,"""من رأى منكم منكراً فليغيّره بيده"" يدل على وجوب:",الإجابة الصحيحة: إنكار المنكر,,,
ef0c9b86-fc95-4c6c-b10d-ef93a2e46153,nawawi,easy,"""لا يؤمن أحدكم حتى يحب لأخيه ما"":",الإجابة الصحيحة: يحب لنفسه,,,
ff6b7cba-3fad-47e1-a748-5ea7336bc1e5,nawawi,easy,من هو مؤلف الأربعون النووية؟,أبو زكريا محيي الدين يحيى بن شرف النووي رحمه الله.,,,
1d2f9244-a270-4596-812c-054bf2583002,nawawi,hard,دلّ بياض ثياب الرجل وسواد شعره مع عدم أثر السفر في حديث جبريل على:,الإجابة الصحيحة: أنه لا يُعرف من الصحابة وفيه غرابة,,,
25884a17-0a08-4204-9234-297f11011979,nawawi,hard,"""اتق الله حيثما كنت"" وصية تجمع:",الإجابة الصحيحة: حقوق الله وحقوق العباد,,,
2ce74baf-e8dd-4963-9a65-72de04664a3a,nawawi,hard,أوصيكم بتقوى الله والسمع والطاعة...,فعليكم بسنتي وسنة الخلفاء الراشدين.,,,
2f400211-17a1-4c8a-bb79-2ba134c86f91,nawawi,hard,"""الإسلام"" لغةً وشرعاً في حديث ""بُني الإسلام"":",الإجابة الصحيحة: الاستسلام لله بالتوحيد والانقياد له بالطاعة والبراءة من الشرك,,,
41b189f4-a2e6-43a3-ba4f-e27fb4f6627b,nawawi,hard,"""احفظ الله"":",الإجابة الصحيحة: يحفظك,,,
521e7ce5-fff3-455b-ad0d-92d7cd87b029,nawawi,hard,يجب التمسك بسنة الخلفاء الراشدين.,فعليكم بسنتي وسنة الخلفاء الراشدين.,,,
552cf1e6-f6f8-4711-8218-058f0496f7a1,nawawi,hard,عبد الله بن عمر رضي الله عنهما أسلم:,الإجابة الصحيحة: مع أبيه بمكة وهو صغير,,,
62d5943d-857a-43a9-ba34-ec83ef01e96b,nawawi,hard,"""إن الله طيّب لا يقبل إلا"":",الإجابة الصحيحة: طيّباً,,,
6a0f4a4c-721e-4c78-af74-1161be8a77a4,nawawi,hard,الملك يكتب رزق الإنسان وأجله وعمله وشقي أو سعيد.,,,,
74076c42-5f23-4e68-8de6-2864ca262829,nawawi,hard,ما تقرب إلي عبدي بشيء أحب إلي مما...,وما تقرب إلي عبدي بشيء أحب إلي مما افترضته عليه.,,,
7941ff99-3332-4f64-9d79-2d5dc65bca31,nawawi,hard,"""المسلم من سلم المسلمون من لسانه ويده"" يدل على:",الإجابة الصحيحة: كفّ الأذى,,,
8f2e341e-f79d-4e6d-8caf-581ba5c4bd60,nawawi,hard,"""إنما الأعمال بالنيات"" راويه:",الإجابة الصحيحة: عمر بن الخطاب,,,
91478a6f-b47b-45c8-9061-a7ec5c6c5dda,nawawi,hard,"""من عادى لي ولياً فقد آذنته بالحرب"" حديث:",الإجابة الصحيحة: قدسي,,,
a1d8f12b-4697-41c4-8b9a-ee32cacb22f3,nawawi,hard,"""كل بدعة ضلالة"" يدل على ذمّ:",الإجابة الصحيحة: الإحداث في الدين,,,
ade63dbb-5665-4f61-af60-898cb2272d4b,nawawi,hard,"""الحج"" شرعاً:",الإجابة الصحيحة: قصد بيت الله الحرام لأداء نسك مخصوص في وقت مخصوص,,,
b21de284-8a66-491d-8b8c-f73373989d28,nawawi,hard,الطهور شطر الإيمان، والحمد لله...,والحمد لله تملأ الميزان.,,,
b80e224e-80d5-4581-8ff7-cd4ee2809224,nawawi,hard,"""دع ما يريبك إلى ما لا يريبك"" يدعو إلى:",«ترك المشتبه» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.,,,
bd68b69c-ab30-493d-b073-f06026a9ac25,nawawi,hard,"راوي حديث الولاية ""من عادى لي ولياً"" و""رفع الحرج"" هو:",الإجابة الصحيحة: أبو هريرة وابن عباس على الترتيب,,,
c07d02bc-50b6-4351-8058-63e0c96dc0b2,nawawi,hard,"معنى ""الخطأ"" في حديث رفع الحرج:",الخطأ في الحديث: ما فعل العبد من عمل وهو يخطئ فيه أو يقع فيه خطأ دون قصد.,,,
cb18a215-07dd-4621-ab08-773096785520,nawawi,hard,في الحديث القدسي: يا عبادي إني حرمت الظلم على نفسي...,إني حرمت الظلم على نفسي وجعلته بينكم محرماً.,,,
cb21e26c-43d2-403f-b059-750a049578b0,nawawi,hard,"""من حسن إسلام المرء تركه ما لا يعنيه"" يحثّ على:",الإجابة الصحيحة: ترك الفضول,,,
d3fa8f26-757b-4a00-8449-35e81a4014d1,nawawi,hard,"لُقّب عمر بن الخطاب بـ ""الفاروق"" لأنه:",الإجابة الصحيحة: كان يفرّق بين الحق والباطل,,,
d5c817ea-0ac3-48fe-881c-97acf14b7e98,nawawi,hard,"أركان الإسلام في حديث ""بُني الإسلام على خمس"" أولها:",«شهادة أن لا إله إلا الله» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.,,,
d8425a0c-a97f-41a0-a601-876587f77f94,nawawi,hard,الله يغفر الذنوب جميعاً ولا يبالي.,وأنا أغفر الذنوب جميعاً.,,,
e2c00759-6852-4347-bbb3-a500cf186470,nawawi,hard,أركان الإيمان الستة منها:,الإجابة الصحيحة: الإيمان بالملائكة,,,
e40007c9-1ee6-4bd0-a75c-344b8259d2c9,nawawi,hard,البينة على...,البينة على المدعي، واليمين على من أنكر.,,,
ff19a316-58a1-4278-bee4-b6f49b4fc435,nawawi,hard,الصلاة نور.,حديث أبي مالك الأشعري.,,,
09032ae8-9842-4ee8-8e78-024caefe413d,nawawi,medium,"""الدين النصيحة""، قلنا لمن؟ قال: لله ولكتابه ولرسوله و:",الإجابة الصحيحة: أئمة المسلمين وعامتهم,,,
10a36d97-16ad-43f5-a9d1-414da3860480,nawawi,medium,من هم بسيئة فعملها كتبت سيئة واحدة.,فإن عملها كتبها الله سيئة واحدة.,,,
14691ce7-a4a6-4aae-b4c1-084fe8dd206c,nawawi,medium,إن الله كتب الإحسان على كل شيء، حتى في...,فإذا قتلتم فأحسنوا القتلة، وإذا ذبحتم فأحسنوا الذبحة.,,,
17a9173a-a0cd-47f0-96ba-06757d656b84,nawawi,medium,"معنى ""العالة"" في حديث جبريل:",«الفقراء» هو المعنى الصحيح المذكور في شرح الكتاب لهذه الكلمة/المصطلح.,,,
1b0341c0-5655-4f88-abde-09ae69cb7fcd,nawawi,medium,من هاجر إلى الله ورسوله فهجرته...,فهجرته إلى الله ورسوله.,,,
26f3d3b0-1e3a-4f81-9cf4-aa945f8f0d04,nawawi,medium,إن الله فرض فرائض فلا...,,,,
2fb147f0-257e-4f48-9580-233929f4af22,nawawi,medium,الإحسان مرتبة:,الإجابة الصحيحة: أعلى مراتب الدين,,,
40459252-7195-453e-8b26-71fd6756bda5,nawawi,medium,النصيحة لله تكون بالدعوة إلى الإيمان به وتنزيهه عن الشرك.,النصيحة لله هي التعظيم لأمره والشفقة على خلقه.,,,
40c35b74-2576-4bb5-a509-ae206f55c610,nawawi,medium,كان ابن عمر يقول: إذا أمسيت فلا تنتظر...,إذا أمسيت فلا تنتظر الصباح.,,,
4505d711-ae74-4891-99f9-4bfb3f1a4eec,nawawi,medium,إن الله تجاوز عن أمتي الخطأ والنسيان وما استكرهوا عليه.,,,,
47e120ad-2c58-4fd8-9cb5-e018878a0f98,nawawi,medium,نهى النبي ﷺ عن كثرة السؤال بغير حاجة.,إن الله كره لكم قيل وقال وكثرة السؤال.,,,
