id,book,chapter,level,type,question_text,explanation,notes
8f2e341e-f79d-4e6d-8caf-581ba5c4bd60,nawawi,1- النية,hard,mc,"""إنما الأعمال بالنيات"" راويه:","«عمر بن الخطاب» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
ce7a77d3-5b18-4834-9919-5b2e3cbae0b9,nawawi,1- النية,easy,mc,"""النية"" في حديث الأعمال هي:","«العزم على فعل العبادة تقرباً إلى الله وحمله البلق» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
c222d45d-12aa-489b-b6d5-8c71d179b249,nawawi,1- النية,easy,tf,"الأعمال لا تقبل إلا بالنية الصالحة.","وإنما لكل امرئ ما نوى.",""
727c0b70-4282-4e8e-9d5a-184312a33c5a,nawawi,1- النية,medium,tf,"النية محلها القلب ولا يشترط التلفظ بها.","النية محلها القلب.",""
e3b8d209-b4b7-45cc-bfb0-78ac6d7ed91b,nawawi,1- النية,easy,mc,"النية محلّها:","«القلب» هي الإجابة المطابقة لِما ورد في النصّ والمعنى المراد.","شرح عام"
444a1228-2f73-44f1-99ba-720d9c572f4a,nawawi,1- النية,easy,mc,"حديث ""إنما الأعمال بالنيات"" يدل على أهمية:","«النية والإخلاص» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
ff106f06-ba52-4b39-84c5-dd7e7e5918fa,nawawi,1- النية,medium,mc,"راوي حديث ""إنما الأعمال بالنيات"" هو:","«عمر بن الخطاب رضي الله عنه» هو ما ثبت في لفظ الحديث/الأثر كما أورده الكتاب.","شرح عام"
da89ed81-0fb5-4f49-a689-880a89271aed,nawawi,1- النية,easy,mc,"ما أول حديث في الأربعين النووية؟","حديث عمر بن الخطاب: إنما الأعمال بالنيات.",""
1b0341c0-5655-4f88-abde-09ae69cb7fcd,nawawi,1- النية,medium,mc,"من هاجر إلى الله ورسوله فهجرته...","فهجرته إلى الله ورسوله.",""
54c16810-a520-4ec8-961e-270bff6c1839,nawawi,10- الحلال,medium,tf,"أكل الحرام يمنع إجابة الدعاء.","ثم ذكر الرجل يطيل السفر... ومطعمه حرام... فأنى يستجاب لذلك.",""
b5ff7eaf-2065-47f3-8037-b81eadc02288,nawawi,10- الحلال,medium,mc,"لماذا لا يستجاب دعاء آكل الحرام؟","إن الله طيب لا يقبل إلا طيباً.",""
